"Number of groups incl. import",23,,,,,,,,,,,,,,,,,,
"Number of predators",19,,,,,,,,,,,,,,,,,,
Prey/Pred,Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton
Dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonito,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefish,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A. Mackerel",0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiting,0.05,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Turbot,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"R. Mullet",0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
Dogfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H. Mackerel",0.15,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Shad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprat,0.3,0.3,0.3,0.3,0.35,0.8,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0
"Anchovy 0-0+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"Anchovy 1-1+",0.35,0.4,0.4,0.4,0.5,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0
Aurelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mnemiopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0
Pleurobrachia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctiluca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0.1,0,0,0.6,1,1,1,1,0.5,0,0.8,0.5,0.15,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9
POM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.5,0.25,0.1
Detritus,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
Import,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
