"Number of groups",22,,,,,,,,,,,,,,
"Number of parameters",15,,,,,,,,,,,,,,
"Number of split groups",1,,,,,,,,,,,,,,
Groups,B,P/B,Q/B,EE,P/Q,"Unass. Q","Detritus Import",Landings,Discards,"Biomass Accumulation","Organism Type","Split Group?","Stanza No","Age Start","Leading stanza?"
Dolphins,0.0118645,0.43613,5.77288,-999,-999,0.2,-999,0.001,0,0,2,0,-999,-999,-999
Bonito,-999,0.5038866,5.289608,0.6950969,-999,0.2,-999,0.0116,0,0,2,0,-999,-999,-999
Bluefish,-999,0.505,4.359223,0.9800643,-999,0.2,-999,0.00015,0,0,2,0,-999,-999,-999
"A. Mackerel",0.03540651,0.5121949,5.385334,-999,-999,0.2,-999,0.00576,0,0,2,0,-999,-999,-999
Whiting,-999,0.705496,2.130769,0.9955959,-999,0.2,-999,0.00027,0,0,2,0,-999,-999,-999
Turbot,-999,0.6137826,1.636712,0.7551166,-999,0.2,-999,0.00103,0,0,2,0,-999,-999,-999
"R. Mullet",-999,0.6530595,2.111033,0.828218758,-999,0.2,-999,0.0012,0,0,2,0,-999,-999,-999
Dogfish,-999,0.5515018,1.90358,0.4314,-999,0.2,-999,0.00014,0,0,2,0,-999,-999,-999
"H. Mackerel",0.06538603,2.739331,9.16426,-999,-999,0.2,-999,0.0131,0,0,2,0,-999,-999,-999
Shad,-999,2.283653,9.601008,0.982655466,-999,0.2,-999,0.001,0,0,2,0,-999,-999,-999
Sprat,0.2575878,2.887846,13.01057,-999,-999,0.2,-999,0.00333,0,0,2,0,-999,-999,-999
"Anchovy 0-0+",-999,23.03275,-999,-999,-999,0.2,-999,0,0,0,2,1,1,0,0
"Anchovy 1-1+",0.2595875,2.977023,9.780116,-999,-999,0.2,-999,0.0151,0,0,2,1,1,3,1
Aurelia,0.03712703,12.39255,34.51361,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Beroe,1.04E-06,9.635578,27.55529,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Mnemiopsis,9.54E-06,8.630931,34.51361,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Pleurobrachia,0.02377693,7.3,37.18273,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Noctiluca,0.08479569,8.769948,38.39453,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Zooplankton,0.3904744,43.81,268.7071,-999,-999,0.2,-999,0,0,0,2,0,-999,-999,-999
Phytoplankton,0.3349739,291,0,-999,-999,-999,-999,0,0,0,1,0,-999,-999,-999
POM,20,-999,-999,-999,-999,-999,0,0,0,0,0,0,-999,-999,-999
Detritus,80,-999,-999,-999,-999,-999,0,0,0,0,0,0,-999,-999,-999
